epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,1015.43,2.03427,1.3787,1.09909,0.53083,0.30833,0.32506,0.14501,1.95905,1.29181,1.01959,0.0085942,0.0085942,0.0085942
144,1022.75,2.02043,1.33564,1.08338,0.58828,0.31034,0.32328,0.14555,2.03396,1.30061,1.02173,0.0085843,0.0085843,0.0085843
145,1030.07,1.97997,1.31137,1.05827,0.53007,0.32678,0.31052,0.14673,1.89915,1.355,1.02939,0.0085744,0.0085744,0.0085744
146,1037.4,2.02924,1.33719,1.09167,0.47709,0.3172,0.30786,0.14177,1.89625,1.29973,1.03038,0.0085645,0.0085645,0.0085645
147,1044.79,2.00365,1.30923,1.04708,0.5818,0.30345,0.32946,0.14892,1.92218,1.39174,1.04338,0.0085546,0.0085546,0.0085546
148,1052.18,2.01422,1.34647,1.05466,0.47923,0.2955,0.31411,0.14419,1.91563,1.27284,1.0118,0.0085447,0.0085447,0.0085447
149,1059.52,2.00059,1.28309,1.05817,0.68513,0.28268,0.33161,0.15832,1.80097,1.31944,1.00887,0.0085348,0.0085348,0.0085348
150,1066.89,2.03256,1.30423,1.05317,0.61314,0.34545,0.35367,0.15629,1.99691,1.28334,1.0146,0.0085249,0.0085249,0.0085249
151,1074.27,1.97595,1.28131,1.0776,0.54664,0.30843,0.33675,0.15469,1.86229,1.21616,0.98348,0.008515,0.008515,0.008515
152,1081.66,2.05524,1.34865,1.10573,0.55266,0.31845,0.31434,0.14926,1.75978,1.26018,1.00922,0.0085051,0.0085051,0.0085051
153,1089.02,2.03639,1.30932,1.0646,0.5141,0.3413,0.33703,0.15443,1.92655,1.31965,1.04496,0.0084952,0.0084952,0.0084952
154,1096.29,1.97625,1.28474,1.05804,0.56516,0.31564,0.33753,0.13759,1.90569,1.21782,1.01953,0.0084853,0.0084853,0.0084853
155,1103.62,2.02891,1.36275,1.09603,0.56044,0.32579,0.32747,0.14327,2.16032,1.39341,1.0608,0.0084754,0.0084754,0.0084754
156,1110.95,2.03259,1.31619,1.07499,0.47381,0.31289,0.31882,0.14978,1.8759,1.40774,1.03047,0.0084655,0.0084655,0.0084655
157,1118.23,2.04352,1.3386,1.07833,0.5626,0.3131,0.33777,0.15483,1.99263,1.25808,1.05231,0.0084556,0.0084556,0.0084556
158,1125.52,2.0117,1.29184,1.07647,0.56944,0.29115,0.32076,0.14731,1.95445,1.31522,1.0487,0.0084457,0.0084457,0.0084457
159,1132.83,1.93958,1.26694,1.05525,0.54258,0.32148,0.34701,0.15004,1.96393,1.29792,1.06701,0.0084358,0.0084358,0.0084358
160,1140.09,2.04355,1.3245,1.08378,0.57211,0.29539,0.32577,0.15013,1.90245,1.28569,1.07111,0.0084259,0.0084259,0.0084259
161,1147.38,1.93987,1.25339,1.06194,0.70256,0.27811,0.33441,0.16354,1.773,1.36819,1.04848,0.008416,0.008416,0.008416
